crash_year,period_status,crash_count,prior_year_crash_count,yoy_crash_change,yoy_crash_change_pct
2000,complete_period,31996,,,
2001,complete_period,36125,31996,4129,12.9
2002,complete_period,38045,36125,1920,5.31
2003,complete_period,37950,38045,-95,-0.25
2004,complete_period,37051,37950,-899,-2.37
2005,complete_period,38364,37051,1313,3.54
2006,complete_period,39778,38364,1414,3.69
2007,complete_period,41661,39778,1883,4.73
2008,complete_period,39535,41661,-2126,-5.1
2009,complete_period,38247,39535,-1288,-3.26
2010,complete_period,36870,38247,-1377,-3.6
2011,complete_period,32450,36870,-4420,-11.99
2012,complete_period,30443,32450,-2007,-6.18
2013,complete_period,30109,30443,-334,-1.1
2014,complete_period,29784,30109,-325,-1.08
2015,complete_period,32104,29784,2320,7.79
2016,complete_period,37250,32104,5146,16.03
2017,complete_period,39314,37250,2064,5.54
2018,complete_period,38470,39314,-844,-2.15
2019,complete_period,36930,38470,-1540,-4.0
2020,complete_period,32819,36930,-4111,-11.13
2021,complete_period,34154,32819,1335,4.07
2022,complete_period,31251,34154,-2903,-8.5
2023,complete_period,31505,31251,254,0.81
2024,complete_period,29332,31505,-2173,-6.9
2025,complete_period,28987,29332,-345,-1.18
2026,partial_snapshot_period,2940,28987,,
