crash_year,period_status,crash_count,fatal_or_serious_crashes,fatal_or_serious_crash_pct
2000,complete_period,31996,2177,6.804
2001,complete_period,36125,2344,6.4886
2002,complete_period,38045,2515,6.6106
2003,complete_period,37950,2480,6.5349
2004,complete_period,37051,2446,6.6017
2005,complete_period,38364,2457,6.4044
2006,complete_period,39778,2533,6.3678
2007,complete_period,41661,2541,6.0992
2008,complete_period,39535,2475,6.2603
2009,complete_period,38247,2332,6.0972
2010,complete_period,36870,2219,6.0184
2011,complete_period,32450,2002,6.1695
2012,complete_period,30443,2025,6.6518
2013,complete_period,30109,1923,6.3868
2014,complete_period,29784,1999,6.7117
2015,complete_period,32104,2121,6.6067
2016,complete_period,37250,2414,6.4805
2017,complete_period,39314,2750,6.995
2018,complete_period,38470,2461,6.3972
2019,complete_period,36930,2452,6.6396
2020,complete_period,32819,2159,6.5785
2021,complete_period,34154,2281,6.6786
2022,complete_period,31251,2435,7.7918
2023,complete_period,31505,2391,7.5893
2024,complete_period,29332,2340,7.9776
2025,complete_period,28987,2322,8.0105
2026,partial_snapshot_period,2940,263,8.9456
