crash_year,records_checked,missing_region_records,missing_tla_records,missing_fine_geography_records,missing_region_pct,missing_tla_pct,missing_fine_geography_pct,missingness_rank
2023,31505,141,3,3,0.4475,0.0095,0.0095,1
2018,38470,170,1,1,0.4419,0.0026,0.0026,2
2024,29332,105,1,0,0.358,0.0034,0.0,3
2000,31996,131,0,0,0.4094,0.0,0.0,4
2001,36125,146,0,0,0.4042,0.0,0.0,5
2002,38045,138,0,0,0.3627,0.0,0.0,6
2003,37950,127,0,0,0.3347,0.0,0.0,7
2004,37051,142,0,0,0.3833,0.0,0.0,8
2005,38364,154,0,0,0.4014,0.0,0.0,9
2006,39778,108,0,0,0.2715,0.0,0.0,10
2007,41661,139,0,0,0.3336,0.0,0.0,11
2008,39535,143,0,0,0.3617,0.0,0.0,12
2009,38247,150,0,0,0.3922,0.0,0.0,13
2010,36870,189,0,0,0.5126,0.0,0.0,14
2011,32450,137,0,0,0.4222,0.0,0.0,15
2012,30443,120,0,0,0.3942,0.0,0.0,16
2013,30109,95,0,0,0.3155,0.0,0.0,17
2014,29784,101,0,0,0.3391,0.0,0.0,18
2015,32104,101,0,0,0.3146,0.0,0.0,19
2016,37250,147,0,0,0.3946,0.0,0.0,20
2017,39314,137,0,0,0.3485,0.0,0.0,21
2019,36930,142,0,0,0.3845,0.0,0.0,22
2020,32819,104,0,0,0.3169,0.0,0.0,23
2021,34154,134,0,0,0.3923,0.0,0.0,24
2022,31251,130,0,0,0.416,0.0,0.0,25
2025,28987,129,0,0,0.445,0.0,0.0,26
2026,2940,14,0,0,0.4762,0.0,0.0,27
