column_name,total_rows,missing_count,missing_pct,distinct_count
region,913464,3474,0.3803,16
NumberOfLanes,913464,2268,0.2483,10
crashLocation2,913464,1906,0.2087,54515
speedLimit,913464,1421,0.1556,17
directionRoleDescription,913464,73,0.008,5
tlaId,913464,5,0.0005,67
tlaName,913464,5,0.0005,67
areaUnitID,913464,4,0.0004,1875
meshblockId,913464,4,0.0004,40454
crashSHDescription,913464,3,0.0003,3
fatalCount,913464,1,0.0001,10
minorInjuryCount,913464,1,0.0001,23
seriousInjuryCount,913464,1,0.0001,14
OBJECTID,913464,0,0.0,913464
X,913464,0,0.0,437449
Y,913464,0,0.0,473937
crashDirectionDescription,913464,0,0.0,5
crashFinancialYear,913464,0,0.0,27
crashLocation1,913464,0,0.0,39274
crashSeverity,913464,0,0.0,4
crashYear,913464,0,0.0,27
flatHill,913464,0,0.0,3
light,913464,0,0.0,5
roadCharacter,913464,0,0.0,9
roadLane,913464,0,0.0,4
roadSurface,913464,0,0.0,4
streetLight,913464,0,0.0,4
trafficControl,913464,0,0.0,8
urban,913464,0,0.0,2
weatherA,913464,0,0.0,7
weatherB,913464,0,0.0,4
