crash_id,check_id,check_name,check_category,issue_severity,check_status,issue_description,reporting_impact,recommended_action,crash_year,crash_financial_year,crash_severity,fatal_count,serious_injury_count,minor_injury_count,region,tla_id,tla_name,area_unit_id,meshblock_id,crash_location_1,crash_location_2
598519,DQ-07,Primary TLA reference is complete,completeness,medium,REVIEW,tlaId or tlaName is missing,Incomplete TLA fields can misstate detailed geographic results.,Retain national totals and caveat or exclude affected local records.,2018,2018/2019,Non-Injury Crash,0,0,0,,,,,,MARELLEN DRIVE,BAY ST
710955,DQ-07,Primary TLA reference is complete,completeness,medium,REVIEW,tlaId or tlaName is missing,Incomplete TLA fields can misstate detailed geographic results.,Retain national totals and caveat or exclude affected local records.,2023,2023/2024,Minor Crash,0,0,1,,,,,,GILLIES AVENUE,BRIGHTSIDE ROAD
840286,DQ-07,Primary TLA reference is complete,completeness,medium,REVIEW,tlaId or tlaName is missing,Incomplete TLA fields can misstate detailed geographic results.,Retain national totals and caveat or exclude affected local records.,2023,2023/2024,Minor Crash,0,0,1,,,,,,WAIKATO EXPRESSWAY,GORDONTON ROAD OFF RAMP
872624,DQ-07,Primary TLA reference is complete,completeness,medium,REVIEW,tlaId or tlaName is missing,Incomplete TLA fields can misstate detailed geographic results.,Retain national totals and caveat or exclude affected local records.,2023,2022/2023,Minor Crash,0,0,1,,,,,,NGAPAERURU ROAD,MANGAMAIRE ROAD
767701,DQ-07,Primary TLA reference is complete,completeness,medium,REVIEW,tlaId or tlaName is missing,Incomplete TLA fields can misstate detailed geographic results.,Retain national totals and caveat or exclude affected local records.,2024,2023/2024,Non-Injury Crash,0,0,0,,,,597000,2717200,WAITANGI WHARF OWENGA ROAD,NORTH ROAD
598519,DQ-08,Fine geographic reference is complete,completeness,medium,REVIEW,areaUnitID or meshblockId is missing,Missing area-unit or meshblock values limit detailed mapping.,Use national reporting normally and caveat fine-grained geography.,2018,2018/2019,Non-Injury Crash,0,0,0,,,,,,MARELLEN DRIVE,BAY ST
710955,DQ-08,Fine geographic reference is complete,completeness,medium,REVIEW,areaUnitID or meshblockId is missing,Missing area-unit or meshblock values limit detailed mapping.,Use national reporting normally and caveat fine-grained geography.,2023,2023/2024,Minor Crash,0,0,1,,,,,,GILLIES AVENUE,BRIGHTSIDE ROAD
840286,DQ-08,Fine geographic reference is complete,completeness,medium,REVIEW,areaUnitID or meshblockId is missing,Missing area-unit or meshblock values limit detailed mapping.,Use national reporting normally and caveat fine-grained geography.,2023,2023/2024,Minor Crash,0,0,1,,,,,,WAIKATO EXPRESSWAY,GORDONTON ROAD OFF RAMP
872624,DQ-08,Fine geographic reference is complete,completeness,medium,REVIEW,areaUnitID or meshblockId is missing,Missing area-unit or meshblock values limit detailed mapping.,Use national reporting normally and caveat fine-grained geography.,2023,2022/2023,Minor Crash,0,0,1,,,,,,NGAPAERURU ROAD,MANGAMAIRE ROAD
76643,DQ-10,Region reference is populated,completeness,medium,MONITOR,region is missing,Missing regions reduce completeness of subnational reporting.,Monitor the rate by year and caveat regional outputs.,2000,1999/2000,Non-Injury Crash,0,0,0,,76,Auckland,513431,221903,SH 18,UPPER HARBOUR BR
