crash_year,period_status,crash_count,prior_year_crash_count,yoy_crash_change,yoy_crash_change_pct,fatalities,serious_injuries,minor_injuries,fatal_or_serious_crashes,fatal_or_serious_crash_pct
2000,complete_period,31996,,,,462,2286,8776,2177,6.804
2001,complete_period,36125,31996,4129,12.9,455,2473,10002,2344,6.4886
2002,complete_period,38045,36125,1920,5.31,405,2649,11406,2515,6.6106
2003,complete_period,37950,38045,-95,-0.25,461,2618,11907,2480,6.5349
2004,complete_period,37051,37950,-899,-2.37,435,2552,11548,2446,6.6017
2005,complete_period,38364,37051,1313,3.54,405,2585,12063,2457,6.4044
2006,complete_period,39778,38364,1414,3.69,393,2688,12695,2533,6.3678
2007,complete_period,41661,39778,1883,4.73,421,2712,13492,2541,6.0992
2008,complete_period,39535,41661,-2126,-5.1,366,2587,12770,2475,6.2603
2009,complete_period,38247,39535,-1288,-3.26,384,2464,12234,2332,6.0972
2010,complete_period,36870,38247,-1377,-3.6,375,2315,11812,2219,6.0184
2011,complete_period,32450,36870,-4420,-11.99,284,2088,10585,2002,6.1695
2012,complete_period,30443,32450,-2007,-6.18,308,2101,10115,2025,6.6518
2013,complete_period,30109,30443,-334,-1.1,253,2022,9907,1923,6.3868
2014,complete_period,29784,30109,-325,-1.08,292,2074,9223,1999,6.7117
2015,complete_period,32104,29784,2320,7.79,317,2165,10177,2121,6.6067
2016,complete_period,37250,32104,5146,16.03,327,2549,10231,2414,6.4805
2017,complete_period,39314,37250,2064,5.54,377,2861,11176,2750,6.995
2018,complete_period,38470,39314,-844,-2.15,378,2600,12089,2461,6.3972
2019,complete_period,36930,38470,-1540,-4.0,350,2527,12230,2452,6.6396
2020,complete_period,32819,36930,-4111,-11.13,318,2186,10690,2159,6.5785
2021,complete_period,34154,32819,1335,4.07,320,2328,10943,2281,6.6786
2022,complete_period,31251,34154,-2903,-8.5,371,2498,11233,2435,7.7918
2023,complete_period,31505,31251,254,0.81,341,2460,11307,2391,7.5893
2024,complete_period,29332,31505,-2173,-6.9,292,2466,10997,2340,7.9776
2025,complete_period,28987,29332,-345,-1.18,272,2421,10968,2322,8.0105
2026,partial_snapshot_period,2940,28987,,,39,263,1297,263,8.9456
