crash_financial_year,r_records_n,sql_records_n,difference,status
1999/2000,16056,16056,0,PASS
2000/2001,33703,33703,0,PASS
2001/2002,37405,37405,0,PASS
2002/2003,38093,38093,0,PASS
2003/2004,37241,37241,0,PASS
2004/2005,38057,38057,0,PASS
2005/2006,38717,38717,0,PASS
2006/2007,40825,40825,0,PASS
2007/2008,41119,41119,0,PASS
2008/2009,38826,38826,0,PASS
2009/2010,37209,37209,0,PASS
2010/2011,35413,35413,0,PASS
2011/2012,30705,30705,0,PASS
2012/2013,30008,30008,0,PASS
2013/2014,29965,29965,0,PASS
2014/2015,30608,30608,0,PASS
2015/2016,34499,34499,0,PASS
2016/2017,38894,38894,0,PASS
2017/2018,39585,39585,0,PASS
2018/2019,37077,37077,0,PASS
2019/2020,33048,33048,0,PASS
2020/2021,36837,36837,0,PASS
2021/2022,30711,30711,0,PASS
2022/2023,32337,32337,0,PASS
2023/2024,29538,29538,0,PASS
2024/2025,29640,29640,0,PASS
2025/2026,17348,17348,0,PASS
