column_name,r_missing_count,sql_missing_count,difference,status
NumberOfLanes,2268,2268,0,PASS
OBJECTID,0,0,0,PASS
X,0,0,0,PASS
Y,0,0,0,PASS
areaUnitID,4,4,0,PASS
crashDirectionDescription,0,0,0,PASS
crashFinancialYear,0,0,0,PASS
crashLocation1,0,0,0,PASS
crashLocation2,1906,1906,0,PASS
crashSHDescription,3,3,0,PASS
crashSeverity,0,0,0,PASS
crashYear,0,0,0,PASS
directionRoleDescription,73,73,0,PASS
fatalCount,1,1,0,PASS
flatHill,0,0,0,PASS
light,0,0,0,PASS
meshblockId,4,4,0,PASS
minorInjuryCount,1,1,0,PASS
region,3474,3474,0,PASS
roadCharacter,0,0,0,PASS
roadLane,0,0,0,PASS
roadSurface,0,0,0,PASS
seriousInjuryCount,1,1,0,PASS
speedLimit,1421,1421,0,PASS
streetLight,0,0,0,PASS
tlaId,5,5,0,PASS
tlaName,5,5,0,PASS
trafficControl,0,0,0,PASS
urban,0,0,0,PASS
weatherA,0,0,0,PASS
weatherB,0,0,0,PASS
