crash_year,r_records_n,sql_records_n,difference,status
2000,31996,31996,0,PASS
2001,36125,36125,0,PASS
2002,38045,38045,0,PASS
2003,37950,37950,0,PASS
2004,37051,37051,0,PASS
2005,38364,38364,0,PASS
2006,39778,39778,0,PASS
2007,41661,41661,0,PASS
2008,39535,39535,0,PASS
2009,38247,38247,0,PASS
2010,36870,36870,0,PASS
2011,32450,32450,0,PASS
2012,30443,30443,0,PASS
2013,30109,30109,0,PASS
2014,29784,29784,0,PASS
2015,32104,32104,0,PASS
2016,37250,37250,0,PASS
2017,39314,39314,0,PASS
2018,38470,38470,0,PASS
2019,36930,36930,0,PASS
2020,32819,32819,0,PASS
2021,34154,34154,0,PASS
2022,31251,31251,0,PASS
2023,31505,31505,0,PASS
2024,29332,29332,0,PASS
2025,28987,28987,0,PASS
2026,2940,2940,0,PASS
