column_name,data_type,non_missing_count,missing_count,total_rows,missing_pct
X,numeric,913464,0,913464,0
Y,numeric,913464,0,913464,0
OBJECTID,integer,913464,0,913464,0
advisorySpeed,integer,36119,877345,913464,96.05
areaUnitID,integer,913460,4,913464,0
bicycle,integer,913459,5,913464,0
bridge,integer,376691,536773,913464,58.76
bus,integer,913459,5,913464,0
carStationWagon,integer,913459,5,913464,0
cliffBank,integer,376691,536773,913464,58.76
crashDirectionDescription,character,913464,0,913464,0
crashFinancialYear,character,913464,0,913464,0
crashLocation1,character,913464,0,913464,0
crashLocation2,character,911558,1906,913464,0.21
crashRoadSideRoad,logical,0,913464,913464,100
crashSeverity,character,913464,0,913464,0
crashSHDescription,character,913461,3,913464,0
crashYear,integer,913464,0,913464,0
debris,integer,376691,536773,913464,58.76
directionRoleDescription,character,913391,73,913464,0.01
ditch,integer,376691,536773,913464,58.76
fatalCount,integer,913463,1,913464,0
fence,integer,376691,536773,913464,58.76
flatHill,character,913464,0,913464,0
guardRail,integer,376691,536773,913464,58.76
holiday,character,50451,863013,913464,94.48
houseOrBuilding,integer,376691,536773,913464,58.76
intersection,logical,0,913464,913464,100
kerb,integer,376691,536773,913464,58.76
light,character,913464,0,913464,0
meshblockId,integer,913460,4,913464,0
minorInjuryCount,integer,913463,1,913464,0
moped,integer,913459,5,913464,0
motorcycle,integer,913459,5,913464,0
NumberOfLanes,integer,911196,2268,913464,0.25
objectThrownOrDropped,integer,376691,536773,913464,58.76
otherObject,integer,376691,536773,913464,58.76
otherVehicleType,integer,913459,5,913464,0
overBank,integer,376691,536773,913464,58.76
parkedVehicle,integer,376691,536773,913464,58.76
pedestrian,integer,30228,883236,913464,96.69
phoneBoxEtc,integer,376691,536773,913464,58.76
postOrPole,integer,376691,536773,913464,58.76
region,character,909990,3474,913464,0.38
roadCharacter,character,913464,0,913464,0
roadLane,character,913464,0,913464,0
roadSurface,character,913464,0,913464,0
roadworks,integer,376691,536773,913464,58.76
schoolBus,integer,913459,5,913464,0
seriousInjuryCount,integer,913463,1,913464,0
slipOrFlood,integer,376691,536773,913464,58.76
speedLimit,integer,912043,1421,913464,0.16
strayAnimal,integer,376691,536773,913464,58.76
streetLight,character,913464,0,913464,0
suv,integer,913459,5,913464,0
taxi,integer,913459,5,913464,0
temporarySpeedLimit,integer,15676,897788,913464,98.28
tlaId,integer,913459,5,913464,0
tlaName,character,913459,5,913464,0
trafficControl,character,913464,0,913464,0
trafficIsland,integer,376691,536773,913464,58.76
trafficSign,integer,376691,536773,913464,58.76
train,integer,376691,536773,913464,58.76
tree,integer,376691,536773,913464,58.76
truck,integer,913459,5,913464,0
unknownVehicleType,integer,913459,5,913464,0
urban,character,913464,0,913464,0
vanOrUtility,integer,913459,5,913464,0
vehicle,integer,376691,536773,913464,58.76
waterRiver,integer,376691,536773,913464,58.76
weatherA,character,913464,0,913464,0
weatherB,character,913464,0,913464,0
