crashFinancialYear,total_records_n,issue_rows_n,distinct_issue_records_n,error_issue_rows_n,warning_issue_rows_n,error_record_n,warning_record_n,records_without_issue_n,distinct_issue_records_pct,error_record_pct,warning_record_pct
1999/2000,16056,68,68,0,68,0,68,15988,0.4235,0,0.4235
2000/2001,33703,136,136,0,136,0,136,33567,0.4035,0,0.4035
2001/2002,37405,149,149,0,149,0,149,37256,0.3983,0,0.3983
2002/2003,38093,130,130,0,130,0,130,37963,0.3413,0,0.3413
2003/2004,37241,144,144,0,144,0,144,37097,0.3867,0,0.3867
2004/2005,38057,169,167,3,166,1,166,37890,0.4388,0.0026,0.4362
2005/2006,38717,158,158,0,158,0,158,38559,0.4081,0,0.4081
2006/2007,40825,142,142,0,142,0,142,40683,0.3478,0,0.3478
2007/2008,41119,137,137,0,137,0,137,40982,0.3332,0,0.3332
2008/2009,38826,145,145,0,145,0,145,38681,0.3735,0,0.3735
2009/2010,37209,203,203,0,203,0,203,37006,0.5456,0,0.5456
2010/2011,35413,191,191,0,191,0,191,35222,0.5393,0,0.5393
2011/2012,30705,185,184,0,185,0,184,30521,0.5993,0,0.5993
2012/2013,30008,113,111,0,113,0,111,29897,0.3699,0,0.3699
2013/2014,29965,115,115,0,115,0,115,29850,0.3838,0,0.3838
2014/2015,30608,179,179,0,179,0,179,30429,0.5848,0,0.5848
2015/2016,34499,593,588,0,593,0,588,33911,1.7044,0,1.7044
2016/2017,38894,259,257,0,259,0,257,38637,0.6608,0,0.6608
2017/2018,39585,357,344,0,357,0,344,39241,0.869,0,0.869
2018/2019,37077,781,731,5,776,1,731,36346,1.9716,0.0027,1.9716
2019/2020,33048,603,460,0,603,0,460,32588,1.3919,0,1.3919
2020/2021,36837,764,447,0,764,0,447,36390,1.2135,0,1.2135
2021/2022,30711,820,390,0,820,0,390,30321,1.2699,0,1.2699
2022/2023,32337,728,381,5,723,1,381,31956,1.1782,0.0031,1.1782
2023/2024,29538,758,362,13,745,3,362,29176,1.2255,0.0102,1.2255
2024/2025,29640,715,393,0,715,0,393,29247,1.3259,0,1.3259
2025/2026,17348,482,264,0,482,0,264,17084,1.5218,0,1.5218
