period_type,period_value,field_name,total_records_n,missing_records_n,non_missing_records_n,missing_pct
crashFinancialYear,1999/2000,region,16056,67,15989,0.4173
crashFinancialYear,1999/2000,NumberOfLanes,16056,1,16055,0.0062
crashFinancialYear,1999/2000,areaUnitID,16056,0,16056,0
crashFinancialYear,1999/2000,crashLocation2,16056,0,16056,0
crashFinancialYear,1999/2000,directionRoleDescription,16056,0,16056,0
crashFinancialYear,1999/2000,fatalCount,16056,0,16056,0
crashFinancialYear,1999/2000,meshblockId,16056,0,16056,0
crashFinancialYear,1999/2000,minorInjuryCount,16056,0,16056,0
crashFinancialYear,1999/2000,seriousInjuryCount,16056,0,16056,0
crashFinancialYear,1999/2000,speedLimit,16056,0,16056,0
crashFinancialYear,1999/2000,tlaId,16056,0,16056,0
crashFinancialYear,1999/2000,tlaName,16056,0,16056,0
crashFinancialYear,2000/2001,region,33703,131,33572,0.3887
crashFinancialYear,2000/2001,NumberOfLanes,33703,4,33699,0.0119
crashFinancialYear,2000/2001,directionRoleDescription,33703,1,33702,0.003
crashFinancialYear,2000/2001,areaUnitID,33703,0,33703,0
crashFinancialYear,2000/2001,crashLocation2,33703,0,33703,0
crashFinancialYear,2000/2001,fatalCount,33703,0,33703,0
crashFinancialYear,2000/2001,meshblockId,33703,0,33703,0
crashFinancialYear,2000/2001,minorInjuryCount,33703,0,33703,0
crashFinancialYear,2000/2001,seriousInjuryCount,33703,0,33703,0
crashFinancialYear,2000/2001,speedLimit,33703,0,33703,0
crashFinancialYear,2000/2001,tlaId,33703,0,33703,0
crashFinancialYear,2000/2001,tlaName,33703,0,33703,0
crashFinancialYear,2001/2002,region,37405,144,37261,0.385
crashFinancialYear,2001/2002,NumberOfLanes,37405,2,37403,0.0053
crashFinancialYear,2001/2002,directionRoleDescription,37405,2,37403,0.0053
crashFinancialYear,2001/2002,crashLocation2,37405,1,37404,0.0027
crashFinancialYear,2001/2002,areaUnitID,37405,0,37405,0
crashFinancialYear,2001/2002,fatalCount,37405,0,37405,0
crashFinancialYear,2001/2002,meshblockId,37405,0,37405,0
crashFinancialYear,2001/2002,minorInjuryCount,37405,0,37405,0
crashFinancialYear,2001/2002,seriousInjuryCount,37405,0,37405,0
crashFinancialYear,2001/2002,speedLimit,37405,0,37405,0
crashFinancialYear,2001/2002,tlaId,37405,0,37405,0
crashFinancialYear,2001/2002,tlaName,37405,0,37405,0
crashFinancialYear,2002/2003,region,38093,125,37968,0.3281
crashFinancialYear,2002/2003,NumberOfLanes,38093,5,38088,0.0131
crashFinancialYear,2002/2003,areaUnitID,38093,0,38093,0
crashFinancialYear,2002/2003,crashLocation2,38093,0,38093,0
crashFinancialYear,2002/2003,directionRoleDescription,38093,0,38093,0
crashFinancialYear,2002/2003,fatalCount,38093,0,38093,0
crashFinancialYear,2002/2003,meshblockId,38093,0,38093,0
crashFinancialYear,2002/2003,minorInjuryCount,38093,0,38093,0
crashFinancialYear,2002/2003,seriousInjuryCount,38093,0,38093,0
crashFinancialYear,2002/2003,speedLimit,38093,0,38093,0
crashFinancialYear,2002/2003,tlaId,38093,0,38093,0
crashFinancialYear,2002/2003,tlaName,38093,0,38093,0
crashFinancialYear,2003/2004,region,37241,142,37099,0.3813
