period_type,period_value,field_name,total_records_n,missing_records_n,non_missing_records_n,missing_pct
crashYear,2000,region,31996,131,31865,0.4094
crashYear,2000,NumberOfLanes,31996,3,31993,0.0094
crashYear,2000,areaUnitID,31996,0,31996,0
crashYear,2000,crashLocation2,31996,0,31996,0
crashYear,2000,directionRoleDescription,31996,0,31996,0
crashYear,2000,fatalCount,31996,0,31996,0
crashYear,2000,meshblockId,31996,0,31996,0
crashYear,2000,minorInjuryCount,31996,0,31996,0
crashYear,2000,seriousInjuryCount,31996,0,31996,0
crashYear,2000,speedLimit,31996,0,31996,0
crashYear,2000,tlaId,31996,0,31996,0
crashYear,2000,tlaName,31996,0,31996,0
crashYear,2001,region,36125,146,35979,0.4042
crashYear,2001,NumberOfLanes,36125,2,36123,0.0055
crashYear,2001,directionRoleDescription,36125,2,36123,0.0055
crashYear,2001,crashLocation2,36125,1,36124,0.0028
crashYear,2001,areaUnitID,36125,0,36125,0
crashYear,2001,fatalCount,36125,0,36125,0
crashYear,2001,meshblockId,36125,0,36125,0
crashYear,2001,minorInjuryCount,36125,0,36125,0
crashYear,2001,seriousInjuryCount,36125,0,36125,0
crashYear,2001,speedLimit,36125,0,36125,0
crashYear,2001,tlaId,36125,0,36125,0
crashYear,2001,tlaName,36125,0,36125,0
crashYear,2002,region,38045,138,37907,0.3627
crashYear,2002,NumberOfLanes,38045,5,38040,0.0131
crashYear,2002,directionRoleDescription,38045,1,38044,0.0026
crashYear,2002,areaUnitID,38045,0,38045,0
crashYear,2002,crashLocation2,38045,0,38045,0
crashYear,2002,fatalCount,38045,0,38045,0
crashYear,2002,meshblockId,38045,0,38045,0
crashYear,2002,minorInjuryCount,38045,0,38045,0
crashYear,2002,seriousInjuryCount,38045,0,38045,0
crashYear,2002,speedLimit,38045,0,38045,0
crashYear,2002,tlaId,38045,0,38045,0
crashYear,2002,tlaName,38045,0,38045,0
crashYear,2003,region,37950,127,37823,0.3347
crashYear,2003,NumberOfLanes,37950,4,37946,0.0105
crashYear,2003,areaUnitID,37950,0,37950,0
crashYear,2003,crashLocation2,37950,0,37950,0
crashYear,2003,directionRoleDescription,37950,0,37950,0
crashYear,2003,fatalCount,37950,0,37950,0
crashYear,2003,meshblockId,37950,0,37950,0
crashYear,2003,minorInjuryCount,37950,0,37950,0
crashYear,2003,seriousInjuryCount,37950,0,37950,0
crashYear,2003,speedLimit,37950,0,37950,0
crashYear,2003,tlaId,37950,0,37950,0
crashYear,2003,tlaName,37950,0,37950,0
crashYear,2004,region,37051,142,36909,0.3833
crashYear,2004,NumberOfLanes,37051,3,37048,0.0081
crashYear,2004,directionRoleDescription,37051,1,37050,0.0027
crashYear,2004,areaUnitID,37051,0,37051,0
crashYear,2004,crashLocation2,37051,0,37051,0
crashYear,2004,fatalCount,37051,0,37051,0
crashYear,2004,meshblockId,37051,0,37051,0
