OBJECTID,issue_category,check_name,field_name,issue_level,issue_detail
598519,completeness,required_field_missing,areaUnitID,error,areaUnitID is missing
710955,completeness,required_field_missing,areaUnitID,error,areaUnitID is missing
840286,completeness,required_field_missing,areaUnitID,error,areaUnitID is missing
872624,completeness,required_field_missing,areaUnitID,error,areaUnitID is missing
598519,completeness,required_field_missing,meshblockId,error,meshblockId is missing
710955,completeness,required_field_missing,meshblockId,error,meshblockId is missing
840286,completeness,required_field_missing,meshblockId,error,meshblockId is missing
872624,completeness,required_field_missing,meshblockId,error,meshblockId is missing
598519,completeness,required_field_missing,tlaId,error,tlaId is missing
710955,completeness,required_field_missing,tlaId,error,tlaId is missing
767701,completeness,required_field_missing,tlaId,error,tlaId is missing
840286,completeness,required_field_missing,tlaId,error,tlaId is missing
872624,completeness,required_field_missing,tlaId,error,tlaId is missing
598519,completeness,required_field_missing,tlaName,error,tlaName is missing
710955,completeness,required_field_missing,tlaName,error,tlaName is missing
767701,completeness,required_field_missing,tlaName,error,tlaName is missing
840286,completeness,required_field_missing,tlaName,error,tlaName is missing
872624,completeness,required_field_missing,tlaName,error,tlaName is missing
277541,completeness,required_field_missing,fatalCount,error,fatalCount is missing
277541,completeness,required_field_missing,seriousInjuryCount,error,seriousInjuryCount is missing
277541,completeness,required_field_missing,minorInjuryCount,error,minorInjuryCount is missing
173,completeness,core_field_missing,region,warning,region is missing
194,completeness,core_field_missing,region,warning,region is missing
581,completeness,core_field_missing,region,warning,region is missing
622,completeness,core_field_missing,region,warning,region is missing
1055,completeness,core_field_missing,region,warning,region is missing
1077,completeness,core_field_missing,region,warning,region is missing
1692,completeness,core_field_missing,region,warning,region is missing
1770,completeness,core_field_missing,region,warning,region is missing
1977,completeness,core_field_missing,region,warning,region is missing
2026,completeness,core_field_missing,region,warning,region is missing
2299,completeness,core_field_missing,region,warning,region is missing
2639,completeness,core_field_missing,region,warning,region is missing
3061,completeness,core_field_missing,region,warning,region is missing
3456,completeness,core_field_missing,region,warning,region is missing
3767,completeness,core_field_missing,region,warning,region is missing
4844,completeness,core_field_missing,region,warning,region is missing
5350,completeness,core_field_missing,region,warning,region is missing
5414,completeness,core_field_missing,region,warning,region is missing
5539,completeness,core_field_missing,region,warning,region is missing
6017,completeness,core_field_missing,region,warning,region is missing
6732,completeness,core_field_missing,region,warning,region is missing
7488,completeness,core_field_missing,region,warning,region is missing
7847,completeness,core_field_missing,region,warning,region is missing
7894,completeness,core_field_missing,region,warning,region is missing
8814,completeness,core_field_missing,region,warning,region is missing
8908,completeness,core_field_missing,region,warning,region is missing
8987,completeness,core_field_missing,region,warning,region is missing
9122,completeness,core_field_missing,region,warning,region is missing
9560,completeness,core_field_missing,region,warning,region is missing
10196,completeness,core_field_missing,region,warning,region is missing
10250,completeness,core_field_missing,region,warning,region is missing
10307,completeness,core_field_missing,region,warning,region is missing
10684,completeness,core_field_missing,region,warning,region is missing
12103,completeness,core_field_missing,region,warning,region is missing
12462,completeness,core_field_missing,region,warning,region is missing
12538,completeness,core_field_missing,region,warning,region is missing
12887,completeness,core_field_missing,region,warning,region is missing
13066,completeness,core_field_missing,region,warning,region is missing
13078,completeness,core_field_missing,region,warning,region is missing
13264,completeness,core_field_missing,region,warning,region is missing
13369,completeness,core_field_missing,region,warning,region is missing
13492,completeness,core_field_missing,region,warning,region is missing
14446,completeness,core_field_missing,region,warning,region is missing
14468,completeness,core_field_missing,region,warning,region is missing
14597,completeness,core_field_missing,region,warning,region is missing
15199,completeness,core_field_missing,region,warning,region is missing
15833,completeness,core_field_missing,region,warning,region is missing
16187,completeness,core_field_missing,region,warning,region is missing
16708,completeness,core_field_missing,region,warning,region is missing
17141,completeness,core_field_missing,region,warning,region is missing
17189,completeness,core_field_missing,region,warning,region is missing
17227,completeness,core_field_missing,region,warning,region is missing
17543,completeness,core_field_missing,region,warning,region is missing
17640,completeness,core_field_missing,region,warning,region is missing
17858,completeness,core_field_missing,region,warning,region is missing
17918,completeness,core_field_missing,region,warning,region is missing
18018,completeness,core_field_missing,region,warning,region is missing
18365,completeness,core_field_missing,region,warning,region is missing
18601,completeness,core_field_missing,region,warning,region is missing
18639,completeness,core_field_missing,region,warning,region is missing
18759,completeness,core_field_missing,region,warning,region is missing
18797,completeness,core_field_missing,region,warning,region is missing
19000,completeness,core_field_missing,region,warning,region is missing
19032,completeness,core_field_missing,region,warning,region is missing
19316,completeness,core_field_missing,region,warning,region is missing
19660,completeness,core_field_missing,region,warning,region is missing
19898,completeness,core_field_missing,region,warning,region is missing
20261,completeness,core_field_missing,region,warning,region is missing
20714,completeness,core_field_missing,region,warning,region is missing
21157,completeness,core_field_missing,region,warning,region is missing
21458,completeness,core_field_missing,region,warning,region is missing
21871,completeness,core_field_missing,region,warning,region is missing
22073,completeness,core_field_missing,region,warning,region is missing
22093,completeness,core_field_missing,region,warning,region is missing
22224,completeness,core_field_missing,region,warning,region is missing
22310,completeness,core_field_missing,region,warning,region is missing
22805,completeness,core_field_missing,region,warning,region is missing
22962,completeness,core_field_missing,region,warning,region is missing
23007,completeness,core_field_missing,region,warning,region is missing
23496,completeness,core_field_missing,region,warning,region is missing
23568,completeness,core_field_missing,region,warning,region is missing
23977,completeness,core_field_missing,region,warning,region is missing
24088,completeness,core_field_missing,region,warning,region is missing
24139,completeness,core_field_missing,region,warning,region is missing
24549,completeness,core_field_missing,region,warning,region is missing
24689,completeness,core_field_missing,region,warning,region is missing
24721,completeness,core_field_missing,region,warning,region is missing
24918,completeness,core_field_missing,region,warning,region is missing
25066,completeness,core_field_missing,region,warning,region is missing
25082,completeness,core_field_missing,region,warning,region is missing
25722,completeness,core_field_missing,region,warning,region is missing
25932,completeness,core_field_missing,region,warning,region is missing
25995,completeness,core_field_missing,region,warning,region is missing
26332,completeness,core_field_missing,region,warning,region is missing
27046,completeness,core_field_missing,region,warning,region is missing
27237,completeness,core_field_missing,region,warning,region is missing
27458,completeness,core_field_missing,region,warning,region is missing
27925,completeness,core_field_missing,region,warning,region is missing
28059,completeness,core_field_missing,region,warning,region is missing
28343,completeness,core_field_missing,region,warning,region is missing
28509,completeness,core_field_missing,region,warning,region is missing
28529,completeness,core_field_missing,region,warning,region is missing
28721,completeness,core_field_missing,region,warning,region is missing
28925,completeness,core_field_missing,region,warning,region is missing
29261,completeness,core_field_missing,region,warning,region is missing
29318,completeness,core_field_missing,region,warning,region is missing
29367,completeness,core_field_missing,region,warning,region is missing
29671,completeness,core_field_missing,region,warning,region is missing
30060,completeness,core_field_missing,region,warning,region is missing
30260,completeness,core_field_missing,region,warning,region is missing
30574,completeness,core_field_missing,region,warning,region is missing
