OBJECTID,crashYear,crashFinancialYear,crashSeverity,fatalCount,seriousInjuryCount,minorInjuryCount,total_injury_count,highest_injury_signal,review_priority,region,tlaId,tlaName,areaUnitID,meshblockId,crashLocation1,crashLocation2,crashSHDescription,X,Y,speedLimit,NumberOfLanes,roadCharacter,roadLane,roadSurface,trafficControl,urban,flatHill,light,streetLight,weatherA,weatherB,crashDirectionDescription,directionRoleDescription
732500,2019,2018/2019,Non-Injury Crash,0,0,1,1,minorInjuryCount_present,medium,Northland Region,2,Whangarei District,502102,85000,KAMO ROAD,CLARK ROAD,No,1717947.0699,6049873.1491,50,2,Nil,2-way,Sealed,Unknown,Urban,Flat,Bright sun,Off,Fine,Null,North,South
745709,2022,2022/2023,Non-Injury Crash,0,0,1,1,minorInjuryCount_present,medium,Canterbury Region,60,Christchurch City,594900,2638402,BARRINGTON STREET,ASHGROVE TERRACE,No,1570100.2873,5176157.431,50,2,Nil,2-way,Sealed,Give way,Urban,Flat,Twilight,On,Fine,None,Null,South
751557,2023,2022/2023,Non-Injury Crash,0,0,1,1,minorInjuryCount_present,medium,Waikato Region,16,Hamilton City,528601,920800,WHATAWHATA ROAD,RIFLE RANGE ROAD,Yes,1797876.7242,5814575.122,50,1,Nil,1-way,Sealed,Give way,Urban,Flat,Dark,On,Fine,None,Null,East
754453,2024,2023/2024,Non-Injury Crash,0,0,1,1,minorInjuryCount_present,medium,Waikato Region,13,Waikato District,526200,839402,GEORGE STREET,HENDERSON AVENUE,No,1772518.0907,5874383.6048,50,2,Nil,2-way,Sealed,Nil,Urban,Flat,Bright sun,Off,Fine,Null,Null,South
779905,2023,2023/2024,Non-Injury Crash,0,0,1,1,minorInjuryCount_present,medium,Canterbury Region,60,Christchurch City,590701,2470000,PURIRI STREET,HINAU STREET,No,1566976.6596,5180559.1945,50,2,Nil,2-way,Sealed,Stop,Urban,Flat,Bright sun,Off,Fine,None,Null,North
788251,2025,2024/2025,Non-Injury Crash,0,0,1,1,minorInjuryCount_present,medium,Hawke's Bay Region,30,Hastings District,547700,1487400,HERETAUNGA STREET WEST,GALLIEN STREET,No,1929021.4994,5605968.9556,50,2,Nil,2-way,Sealed,Nil,Urban,Null,Bright sun,Null,Fine,Null,North,North
790794,2025,2024/2025,Non-Injury Crash,0,0,1,1,minorInjuryCount_present,medium,Auckland Region,76,Auckland,513431,223802,HOBSONVILLE ROAD,WESTPARK DRIVE,No,1745679.9314,5924871.1512,50,2,Nil,2-way,Sealed,Nil,Urban,Flat,Overcast,Off,Fine,Null,North,North
791523,2023,2023/2024,Non-Injury Crash,0,0,1,1,minorInjuryCount_present,medium,Canterbury Region,60,Christchurch City,588900,2519101,CRANBROOK AVENUE,KENDAL AVENUE,No,1565467.4695,5183776.4213,50,2,Nil,2-way,Sealed,Give way,Urban,Flat,Bright sun,Off,Fine,None,Null,East
791650,2024,2023/2024,Non-Injury Crash,0,0,1,1,minorInjuryCount_present,medium,Canterbury Region,60,Christchurch City,591500,2648300,TUAM STREET,DURHAM STREET SOUTH,No,1570342.7362,5179671.9645,30,2,Nil,1-way,Sealed,Nil,Urban,Flat,Twilight,On,Fine,Null,West,West
792818,2026,2025/2026,Non-Injury Crash,0,0,1,1,minorInjuryCount_present,medium,Auckland Region,76,Auckland,513013,281520,IMPERIAL PLACE,HINDMARSH STREET,No,1744512.0624,5915625.3509,50,2,Nil,2-way,Sealed,Nil,Urban,Flat,Bright sun,Null,Fine,Null,North,North
